"Time","Event Type","Sensor","Message"
"Apr 4, 2019 14:23:33 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:23:33 152.120.3.200 named[21871]: 04-Apr-2019 10:23:33.540 queries: info: client 152.120.54.65#63026 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:23:33 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:23:33 152.120.3.200 named[21871]: 04-Apr-2019 10:23:33.543 queries: info: client 152.120.54.65#59987 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:23:51 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:23:51 152.120.2.200 named[8062]: 04-Apr-2019 10:23:51.113 queries: info: client 169.135.161.91#21212 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:23:51 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:23:51 152.120.3.200 named[21871]: 04-Apr-2019 10:23:51.129 queries: info: client 152.119.45.92#58882 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:24:35 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:24:35 152.120.2.200 named[8062]: 04-Apr-2019 10:24:35.808 queries: info: client 169.135.237.38#54002 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.2.200)"
"Apr 4, 2019 14:24:35 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:24:35 152.120.3.200 named[21871]: 04-Apr-2019 10:24:35.912 queries: info: client 169.135.237.38#54002 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:24:35 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:24:35 152.120.2.200 named[8062]: 04-Apr-2019 10:24:35.914 queries: info: client 169.135.237.38#57025 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.2.200)"
"Apr 4, 2019 14:27:22 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:27:22 152.120.2.200 named[8062]: 04-Apr-2019 10:27:22.862 queries: info: client 169.135.240.6#17619 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:27:32 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:27:32 152.120.4.100 named[7604]: 04-Apr-2019 10:27:32.742 queries: info: client 169.135.97.36#50558 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.4.100)"
"Apr 4, 2019 14:27:32 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:27:32 152.120.4.100 named[7604]: 04-Apr-2019 10:27:32.635 queries: info: client 169.135.97.36#51507 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.4.100)"
"Apr 4, 2019 14:28:53 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:28:53 152.120.3.200 named[21871]: 04-Apr-2019 10:28:53.711 queries: info: client 152.120.22.86#61093 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:28:53 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:28:53 152.120.3.200 named[21871]: 04-Apr-2019 10:28:53.713 queries: info: client 152.120.22.86#64611 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:31:24 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:31:24 152.120.3.200 named[21871]: 04-Apr-2019 10:31:24.752 queries: info: client 169.135.97.132#4825 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.3.200)"
"Apr 4, 2019 14:32:36 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:32:36 152.120.3.200 named[21871]: 04-Apr-2019 10:32:36.357 queries: info: client 152.120.64.92#51432 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:32:36 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:32:36 152.120.3.200 named[21871]: 04-Apr-2019 10:32:36.412 queries: info: client 152.120.64.92#64142 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:33:29 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:33:29 152.120.3.200 named[21871]: 04-Apr-2019 10:33:29.271 queries: info: client 152.119.45.92#50175 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:33:29 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:33:29 152.120.3.200 named[21871]: 04-Apr-2019 10:33:29.347 queries: info: client 152.119.45.92#61258 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:34:09 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:34:09 152.120.3.200 named[21871]: 04-Apr-2019 10:34:09.836 queries: info: client 169.135.150.18#15967 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.3.200)"
"Apr 4, 2019 14:38:25 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:38:25 152.120.2.200 named[8062]: 04-Apr-2019 10:38:25.648 queries: info: client 152.119.47.7#17088 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:38:25 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:38:25 152.120.3.200 named[21871]: 04-Apr-2019 10:38:25.676 queries: info: client 152.119.47.46#57989 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:38:25 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:38:25 152.120.3.200 named[21871]: 04-Apr-2019 10:38:25.706 queries: info: client 152.119.47.46#64217 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:42:36 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:42:36 152.120.3.200 named[21871]: 04-Apr-2019 10:42:36.627 queries: info: client 152.120.126.67#49363 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:42:36 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:42:36 152.120.3.200 named[21871]: 04-Apr-2019 10:42:36.741 queries: info: client 152.120.126.67#60506 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:42:45 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:42:45 152.120.2.200 named[8062]: 04-Apr-2019 10:42:45.375 queries: info: client 152.119.136.162#8257 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (152.120.2.200)"
"Apr 4, 2019 14:46:43 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:43 152.120.2.200 named[8062]: 04-Apr-2019 10:46:43.777 queries: info: client 10.149.236.11#52904 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.2.200)"
"Apr 4, 2019 14:46:43 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:43 152.120.2.200 named[8062]: 04-Apr-2019 10:46:43.790 queries: info: client 169.135.85.65#59811 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.2.200)"
"Apr 4, 2019 14:46:43 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:43 152.120.3.200 named[21871]: 04-Apr-2019 10:46:43.796 queries: info: client 169.135.85.65#59811 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:46:43 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:43 152.120.2.200 named[8062]: 04-Apr-2019 10:46:43.798 queries: info: client 10.149.236.11#54001 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.2.200)"
"Apr 4, 2019 14:46:43 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:43 152.120.2.200 named[8062]: 04-Apr-2019 10:46:43.823 queries: info: client 169.135.85.65#57039 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.2.200)"
"Apr 4, 2019 14:46:43 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:43 152.120.3.200 named[21871]: 04-Apr-2019 10:46:43.833 queries: info: client 169.135.85.65#57039 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:47:20 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:47:20 152.120.3.200 named[21871]: 04-Apr-2019 10:47:20.058 queries: info: client 152.120.40.127#59905 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:48:01 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:48:01 152.120.3.200 named[21871]: 04-Apr-2019 10:48:01.227 queries: info: client 169.135.253.36#62010 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:48:01 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:48:01 152.120.3.200 named[21871]: 04-Apr-2019 10:48:01.187 queries: info: client 169.135.252.48#64282 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.3.200)"
"Apr 4, 2019 14:48:02 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:48:02 152.120.3.200 named[21871]: 04-Apr-2019 10:48:02.099 queries: info: client 169.135.150.18#38751 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.3.200)"
"Apr 4, 2019 14:48:02 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:48:02 152.120.4.100 named[7604]: 04-Apr-2019 10:48:02.166 queries: info: client 169.135.150.44#52381 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.4.100)"
"Apr 4, 2019 14:49:40 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:49:40 152.120.3.200 named[21871]: 04-Apr-2019 10:49:40.995 queries: info: client 169.135.161.91#17585 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.3.200)"
"Apr 4, 2019 14:49:41 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:49:41 152.120.3.200 named[21871]: 04-Apr-2019 10:49:41.017 queries: info: client 152.119.45.92#52852 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:51:03 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:51:03 204.68.194.100 named[24211]: 04-Apr-2019 14:51:03.416 queries: info: client 152.122.1.7#1140 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.100)"
