"Time","Event Type","Sensor","Message"
"Apr 4, 2019 14:46:45 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:45 152.120.3.200 named[21871]: 04-Apr-2019 10:46:45.181 queries: info: client 152.119.232.78#60524 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:46:45 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:46:45 152.120.2.200 named[8062]: 04-Apr-2019 10:46:45.267 queries: info: client 152.119.232.78#64058 (arstechnica.com.ssl.d1.sc.omtrdc.net): query: arstechnica.com.ssl.d1.sc.omtrdc.net IN A + (152.120.2.200)"
"Apr 4, 2019 14:47:42 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:47:42 152.120.3.200 named[21871]: 04-Apr-2019 10:47:42.620 queries: info: client 169.135.40.218#7293 (feeds.arstechnica.com): query: feeds.arstechnica.com IN A +EDC (152.120.3.200)"
"Apr 4, 2019 14:48:58 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:48:58 152.120.2.200 named[8062]: 04-Apr-2019 10:48:58.739 queries: info: client 152.119.117.8#60404 (arstechnica.com): query: arstechnica.com IN A +ED (152.120.2.200)"
"Apr 4, 2019 14:49:31 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:49:31 152.120.2.200 named[8062]: 04-Apr-2019 10:49:31.833 queries: info: client 169.135.40.218#13341 (arstechnica.com): query: arstechnica.com IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:49:32 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:49:32 152.120.2.200 named[8062]: 04-Apr-2019 10:49:32.803 queries: info: client 169.135.40.218#26808 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:49:32 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:49:32 152.120.2.200 named[8062]: 04-Apr-2019 10:49:32.818 queries: info: client 169.135.40.218#61655 (arstechnica.com.ssl.d1.sc.omtrdc.net): query: arstechnica.com.ssl.d1.sc.omtrdc.net IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:51:03 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:51:03 152.120.2.200 named[8062]: 04-Apr-2019 10:51:03.161 queries: info: client 152.119.117.8#62323 (arstechnica.com.ssl.d1.sc.omtrdc.net): query: arstechnica.com.ssl.d1.sc.omtrdc.net IN A +ED (152.120.2.200)"
"Apr 4, 2019 14:51:03 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:51:03 152.120.2.200 named[8062]: 04-Apr-2019 10:51:03.112 queries: info: client 152.119.116.29#50255 (arstechnica.com.ssl.d1.sc.omtrdc.net): query: arstechnica.com.ssl.d1.sc.omtrdc.net IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:53:09 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:53:09 152.120.2.200 named[8062]: 04-Apr-2019 10:53:09.639 queries: info: client 152.119.232.78#55483 (arstechnica.com): query: arstechnica.com IN A + (152.120.2.200)"
"Apr 4, 2019 14:53:09 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:53:09 152.120.3.200 named[21871]: 04-Apr-2019 10:53:09.747 queries: info: client 152.119.232.78#55483 (arstechnica.com): query: arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:53:09 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:53:09 152.120.2.200 named[8062]: 04-Apr-2019 10:53:09.797 queries: info: client 152.119.232.78#53676 (arstechnica.com): query: arstechnica.com IN A + (152.120.2.200)"
"Apr 4, 2019 14:55:14 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:55:14 152.120.3.200 named[21871]: 04-Apr-2019 10:55:14.012 queries: info: client 152.120.26.104#65348 (arstechnica.com): query: arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:58:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:58:48 152.120.2.200 named[8062]: 04-Apr-2019 10:58:48.252 queries: info: client 152.119.232.78#63643 (arstechnica.com): query: arstechnica.com IN A + (152.120.2.200)"
"Apr 4, 2019 14:58:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:58:48 152.120.3.200 named[21871]: 04-Apr-2019 10:58:48.411 queries: info: client 152.119.232.78#63643 (arstechnica.com): query: arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:58:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:58:48 152.120.2.200 named[8062]: 04-Apr-2019 10:58:48.422 queries: info: client 152.119.232.78#53931 (arstechnica.com): query: arstechnica.com IN A + (152.120.2.200)"
"Apr 4, 2019 14:58:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:58:48 152.120.3.200 named[21871]: 04-Apr-2019 10:58:48.559 queries: info: client 152.119.232.78#53931 (arstechnica.com): query: arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:59:27 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:59:27 152.120.2.200 named[8062]: 04-Apr-2019 10:59:27.923 queries: info: client 169.135.123.55#36960 (arstechnica.com): query: arstechnica.com IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:59:30 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:59:30 152.120.3.200 named[21871]: 04-Apr-2019 10:59:30.992 queries: info: client 169.135.123.55#33006 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A +EDC (152.120.3.200)"
"Apr 4, 2019 14:59:31 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:59:31 152.120.3.200 named[21871]: 04-Apr-2019 10:59:31.024 queries: info: client 169.135.123.38#52372 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:59:31 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:59:31 152.120.3.200 named[21871]: 04-Apr-2019 10:59:31.066 queries: info: client 169.135.123.55#21805 (arstechnica.com.ssl.d1.sc.omtrdc.net): query: arstechnica.com.ssl.d1.sc.omtrdc.net IN A +EDC (152.120.3.200)"
